model,tier,variant,image_path,heading,description,generation_response_time,evaluation_status,evaluation_error,subject_accuracy,visual_details,no_hallucinations,clarity,heading_quality,total_score,evaluation_reason
GPT-5.6 Sol,Deep reasoning,before,../ImageDataset/Apples.jpg,Red and Green Apples,"A dense arrangement of glossy red, green, and yellow apples fills the frame against a dark background. The round fruit has visible brown stems, speckled skin, and small water droplets.",3.89,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Sol,Deep reasoning,before,../ImageDataset/Bicycles_parked.jpg,Crowded Bicycle Parking,"Rows of tightly packed bicycles fill an outdoor parking area, with overlapping black saddles, chrome handlebars, racks, and wheels. An orange plastic seat cover, an olive-green bicycle frame, and a pink floral chain lock stand out against leafy trees and brick buildings.",3.49,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Sol,Deep reasoning,after,../ImageDataset/Apples.jpg,Red and Green Apples,"A dense arrangement of glossy red, green, and yellow apples fills the frame against a dark background. The round fruit has visible brown stems, speckled skins, and small water droplets.",3.15,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Sol,Deep reasoning,after,../ImageDataset/Bicycles_parked.jpg,Crowded Bicycle Parking,"Rows of tightly packed bicycles fill an outdoor parking area beneath green trees, with overlapping chrome handlebars, black saddles, wheels, and metal luggage racks. Distinctive details include an olive-green bicycle in front, an orange plastic seat cover, and a pink floral chain lock.",6.15,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Terra,Balanced,before,../ImageDataset/Apples.jpg,Red and Green Apples,"A tightly packed arrangement of whole apples in glossy red, bright green, yellow-green, and red-yellow varieties. The round fruit has visible brown stems and water droplets, filling the frame against dark gaps between the apples.",3.83,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Terra,Balanced,before,../ImageDataset/Bicycles_parked.jpg,Row of Parked Bicycles,"A dense row of bicycles is parked along a tree-lined urban sidewalk, with overlapping black handlebars, saddles, frames, and rear cargo racks. A green bicycle with a large rear rack is prominent in front, while an orange seat cover and a pink floral-patterned chain lock add color among the mostly black and silver bikes.",3.5,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Terra,Balanced,after,../ImageDataset/Apples.jpg,Red and Green Apples,"A tightly packed assortment of whole apples fills the frame, including glossy red, bright green, and pale yellow varieties. Water droplets cover many of the smooth round fruits, with brown stems visible against a dark background.",1.89,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Terra,Balanced,after,../ImageDataset/Bicycles_parked.jpg,Dense Bicycle Parking Row,"A tightly packed row of bicycles is parked along a sidewalk beside trees and a building. Visible features include black saddles, chrome handlebars, rear cargo racks, fenders, and a green bicycle in front with a pink floral chain lock; one saddle is covered by an orange plastic bag.",2.28,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Luna,Fast,before,../ImageDataset/Apples.jpg,Red Green and Yellow Apples,"A tightly packed arrangement of red, green, and yellow apples fills the frame, with visible stems, rounded shapes, smooth skins, and water droplets. The apples appear freshly washed and are set against a dark background.",3.0,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Luna,Fast,before,../ImageDataset/Bicycles_parked.jpg,Dense Urban Bicycle Rack,"Rows of parked bicycles with black saddles, chrome handlebars, metal racks, and fenders fill an outdoor bike parking area. A foreground olive-green bicycle has a rear cargo rack, while another bike carries an orange cover and a pink patterned handlebar bag, with leafy trees and a building in the background.",3.26,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Luna,Fast,after,../ImageDataset/Apples.jpg,Red Green and Yellow Apples,"A tightly packed arrangement of glossy apples fills the image, with red, bright green, and pale yellow-green fruit in rounded shapes and short brown stems. Water droplets are visible on several skins, creating a fresh market or produce-display context; no readable text appears.",1.8,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.6 Luna,Fast,after,../ImageDataset/Bicycles_parked.jpg,Parked Bicycle Row,"A dense row of parked city bicycles fills the foreground, featuring black and chrome frames, upright handlebars, padded saddles, rear racks, fenders, and baskets. One bicycle has an orange cover over its seat, while another displays “XRM Components” text; leafy trees and a brick building appear in the background.",1.82,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.5,Deep reasoning,before,../ImageDataset/Apples.jpg,Assorted Fresh Apples,"Multiple whole apples are arranged tightly together on a dark background, with visible stems and glossy skins covered in small water droplets. The apples vary in color, including bright green, pale yellow, deep red, and red-yellow striped varieties.",4.17,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.5,Deep reasoning,before,../ImageDataset/Bicycles_parked.jpg,Crowded Bicycle Parking,"A dense row of parked bicycles fills an outdoor rack, with many black saddles, chrome handlebars, metal frames, rear racks, and visible wheels overlapping. One bike has an orange plastic seat cover, another has a pink floral chain lock, and readable markings include ""X&M"" and ""ARIZONA"" on a dark frame, with trees, poles, and a street in the background.",3.49,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.5,Deep reasoning,after,../ImageDataset/Apples.jpg,Assorted Fresh Apples,"Multiple whole apples are arranged tightly together on a dark background, viewed from above with visible stems and dimples. The fruit includes glossy red, bright green, and pale yellow varieties with smooth skins and small water droplets, with no readable text present.",4.47,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.5,Deep reasoning,after,../ImageDataset/Bicycles_parked.jpg,Crowded Bicycle Parking,"A dense row of parked bicycles fills an outdoor bike rack area, with overlapping black saddles, chrome handlebars, metal frames, fenders, and rear racks. Distinct details include an orange plastic-covered seat or bag near the center, a pink floral lock on the right, and partial branding text such as “XHM” and “BOLOGNA” on bike frames.",7.31,error,"'\n  ""subject_accuracy""'",,,,,,,
GPT-5.4 Mini,Fast,before,../ImageDataset/Apples.jpg,Assorted Apples Close-Up,"Multiple apples are tightly arranged in a close-up composition, featuring glossy red, green, and yellow-green skins with visible stems and small water droplets. The fruit appears fresh and fills the entire frame, with no other objects or readable text present.",2.0,error,"'\n  ""subject_accuracy""'",,,,,,,
