model,tier,variant,total_requests,successful_generations,generation_errors,format_errors,average_response_time,quality_score,subject_accuracy,visual_details,no_hallucinations,clarity,heading_quality,evaluated_descriptions,evaluator_requests,evaluator_errors,total_errors,error_status
GPT-5.6 Sol,Deep reasoning,before,10,0,10,0,,9.71,9.7,9.4,9.95,9.95,9.55,10,10,0,10,10 error(s)
GPT-5.6 Sol,Deep reasoning,after,10,10,0,0,7.04,9.82,9.85,9.57,10.0,10.0,9.55,10,10,0,0,OK - no errors
GPT-5.6 Terra,Balanced,before,10,10,0,0,5.94,9.33,9.3,9.15,9.5,9.9,8.85,10,10,0,0,OK - no errors
GPT-5.6 Terra,Balanced,after,10,10,0,0,5.1,9.48,9.5,9.25,9.6,9.9,9.2,10,10,0,0,OK - no errors
GPT-5.6 Luna,Fast,before,10,10,0,0,5.56,9.55,9.75,9.17,9.6,9.85,9.2,10,10,0,0,OK - no errors
GPT-5.6 Luna,Fast,after,10,10,0,0,5.12,9.68,9.75,9.35,9.9,9.95,9.25,10,10,0,0,OK - no errors
GPT-5.5,Deep reasoning,before,10,10,0,0,6.99,9.78,9.8,9.55,9.95,10.0,9.5,10,10,0,0,OK - no errors
GPT-5.5,Deep reasoning,after,10,10,0,0,6.9,9.75,9.85,9.4,9.95,10.0,9.35,10,10,0,0,OK - no errors
GPT-5.4 Mini,Fast,before,10,10,0,0,4.83,9.42,9.5,9.05,9.5,9.85,9.25,10,10,0,0,OK - no errors
GPT-5.4 Mini,Fast,after,10,10,0,0,4.74,9.56,9.6,9.2,9.85,9.9,9.05,10,10,0,0,OK - no errors
Claude Sonnet 5,Balanced,before,10,10,0,0,9.66,9.75,9.75,9.58,9.9,9.95,9.5,10,10,0,0,OK - no errors
Claude Sonnet 5,Balanced,after,10,10,0,0,9.77,9.68,9.7,9.3,9.9,9.9,9.65,10,10,0,0,OK - no errors
Claude Fable 5,Deep reasoning,before,10,10,0,0,13.42,9.6,9.6,9.45,9.65,9.85,9.5,10,10,0,0,OK - no errors
Claude Fable 5,Deep reasoning,after,10,10,0,0,11.91,9.75,9.8,9.5,9.8,9.95,9.75,10,10,0,0,OK - no errors
Claude Opus 4.8,Deep reasoning,before,10,10,0,1,9.99,8.51,8.35,8.39,8.75,8.9,8.3,10,10,0,1,1 error(s)
Claude Opus 4.8,Deep reasoning,after,10,10,0,1,9.0,8.72,8.7,8.45,8.9,9.0,8.6,10,10,0,1,1 error(s)
Claude Haiku 4.5,Fast,before,10,3,7,0,7.17,7.9,7.85,7.52,7.7,9.26,7.95,10,10,0,7,7 error(s)
Claude Haiku 4.5,Fast,after,10,1,9,0,6.93,7.72,7.6,7.41,7.51,9.21,7.85,10,10,0,9,9 error(s)
Gemini 3.5 Flash,Balanced,before,10,0,10,0,,9.73,9.68,9.63,9.88,9.9,9.55,10,10,0,10,10 error(s)
Gemini 3.5 Flash,Balanced,after,10,0,10,0,,9.71,9.65,9.57,9.85,9.92,9.65,10,10,0,10,10 error(s)
Gemini 3.1 Pro,Deep reasoning,before,10,0,10,0,,8.22,9.28,4.0,9.78,8.33,8.94,9,9,0,10,10 error(s)
Gemini 3.1 Pro,Deep reasoning,after,10,0,10,0,,5.55,6.25,2.25,7.06,4.69,6.75,8,8,0,10,10 error(s)
Gemini 3.1 Flash Lite,Fast,before,10,0,10,0,,9.65,9.65,9.43,9.85,9.89,9.4,10,10,0,10,10 error(s)
Gemini 3.1 Flash Lite,Fast,after,10,0,10,0,,9.64,9.65,9.5,9.73,9.87,9.45,10,10,0,10,10 error(s)
Gemini 3 Flash,Balanced,before,10,0,10,0,,9.85,9.8,9.74,10.0,9.98,9.75,10,10,0,10,10 error(s)
Gemini 3 Flash,Balanced,after,10,0,10,0,,9.75,9.7,9.65,9.83,9.96,9.7,10,10,0,10,10 error(s)
Qwen 3.7 Plus,Balanced,before,10,0,10,0,,9.75,9.8,9.45,9.83,9.94,9.8,10,10,0,10,10 error(s)
Qwen 3.7 Plus,Balanced,after,10,0,10,0,,9.59,9.6,9.33,9.65,9.9,9.6,10,10,0,10,10 error(s)
Qwen 3.6 Flash,Fast,before,10,0,10,0,,9.67,9.7,9.42,9.76,9.87,9.64,9,9,0,10,10 error(s)
Qwen 3.6 Flash,Fast,after,10,0,10,0,,9.17,8.95,9.3,9.27,9.77,8.85,10,10,0,10,10 error(s)
Qwen 3.6 35B,Fast,before,10,0,10,0,,9.66,9.75,9.4,9.75,9.75,9.5,2,2,0,10,10 error(s)
Qwen 3.6 35B,Fast,after,10,0,10,0,,9.51,9.5,9.25,9.75,9.75,9.25,2,2,0,10,10 error(s)
Qwen 3.5 397B,Deep reasoning,before,10,0,10,0,,9.78,9.67,9.8,10.0,9.93,9.5,3,3,0,10,10 error(s)
Qwen 3.5 397B,Deep reasoning,after,10,0,10,0,,9.51,9.62,9.12,9.45,9.78,9.75,4,4,0,10,10 error(s)
Qwen 3.5 122B,Balanced,before,10,0,10,0,,9.63,9.5,9.47,9.83,9.93,9.58,6,6,0,10,10 error(s)
Qwen 3.5 122B,Balanced,after,10,0,10,0,,9.57,9.62,9.25,9.62,9.85,9.62,4,4,0,10,10 error(s)
