model,tier,variant,quality_score,subject_accuracy,visual_details,no_hallucinations,clarity,heading_quality,average_response_time,evaluated_descriptions
Claude Fable 5,Deep reasoning,after,10.0,4.0,2.0,2.0,1.0,1.0,11.34,2
Claude Fable 5,Deep reasoning,before,10.0,4.0,2.0,2.0,1.0,1.0,8.68,2
Claude Haiku 4.5,Fast,after,8.0,3.5,1.5,1.5,1.0,0.5,5.18,2
Claude Haiku 4.5,Fast,before,7.5,3.0,1.5,1.5,1.0,0.5,4.69,2
Claude Opus 4.8,Deep reasoning,after,10.0,4.0,2.0,2.0,1.0,1.0,6.14,2
Claude Opus 4.8,Deep reasoning,before,10.0,4.0,2.0,2.0,1.0,1.0,7.24,2
Claude Sonnet 5,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,6.09,2
Claude Sonnet 5,Balanced,before,10.0,4.0,2.0,2.0,1.0,1.0,6.15,2
GPT-5.4 Mini,Fast,after,10.0,4.0,2.0,2.0,1.0,1.0,1.78,2
GPT-5.4 Mini,Fast,before,10.0,4.0,2.0,2.0,1.0,1.0,2.05,2
GPT-5.5,Deep reasoning,after,10.0,4.0,2.0,2.0,1.0,1.0,5.89,2
GPT-5.5,Deep reasoning,before,10.0,4.0,2.0,2.0,1.0,1.0,3.83,2
GPT-5.6 Luna,Fast,after,10.0,4.0,2.0,2.0,1.0,1.0,1.81,2
GPT-5.6 Luna,Fast,before,10.0,4.0,2.0,2.0,1.0,1.0,3.13,2
GPT-5.6 Sol,Deep reasoning,after,10.0,4.0,2.0,2.0,1.0,1.0,4.65,2
GPT-5.6 Sol,Deep reasoning,before,10.0,4.0,2.0,2.0,1.0,1.0,3.69,2
GPT-5.6 Terra,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,2.08,2
GPT-5.6 Terra,Balanced,before,10.0,4.0,2.0,2.0,1.0,1.0,3.66,2
Gemini 3 Flash,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,2.64,2
Gemini 3 Flash,Balanced,before,10.0,4.0,2.0,2.0,1.0,1.0,3.03,2
Gemini 3.1 Flash Lite,Fast,after,10.0,4.0,2.0,2.0,1.0,1.0,2.47,2
Gemini 3.1 Flash Lite,Fast,before,10.0,4.0,2.0,2.0,1.0,1.0,2.01,2
Gemini 3.1 Pro,Deep reasoning,after,8.0,4.0,1.0,2.0,0.0,1.0,11.08,2
Gemini 3.1 Pro,Deep reasoning,before,7.5,4.0,0.5,2.0,0.0,1.0,11.85,2
Gemini 3.5 Flash,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,2.76,2
Gemini 3.5 Flash,Balanced,before,10.0,4.0,2.0,2.0,1.0,1.0,2.82,2
Qwen 3.5 122B,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,2.48,2
Qwen 3.5 122B,Balanced,before,10.0,4.0,2.0,2.0,1.0,1.0,5.14,2
Qwen 3.5 397B,Deep reasoning,after,10.0,4.0,2.0,2.0,1.0,1.0,16.38,2
Qwen 3.5 397B,Deep reasoning,before,10.0,4.0,2.0,2.0,1.0,1.0,17.02,2
Qwen 3.6 35B,Fast,after,9.0,4.0,2.0,1.0,1.0,1.0,20.57,1
Qwen 3.6 35B,Fast,before,9.5,4.0,2.0,1.5,1.0,1.0,8.33,2
Qwen 3.6 Flash,Fast,after,10.0,4.0,2.0,2.0,1.0,1.0,30.63,2
Qwen 3.6 Flash,Fast,before,9.5,4.0,2.0,2.0,1.0,0.5,47.25,2
Qwen 3.7 Plus,Balanced,after,10.0,4.0,2.0,2.0,1.0,1.0,8.52,2
Qwen 3.7 Plus,Balanced,before,9.5,4.0,2.0,1.5,1.0,1.0,8.7,2
